

 ###### 2019. 07. 04. 12:14:14 ###### 

IndexModel.OnGet: 0,0193996 Sec
LoginModel.OnGetAsync: 0,0566557 Sec
LoginModel.OnPostAsync: 1,2320731 Sec
PilotFlightsModel.OnGetAsync: 0,4653077 Sec
Unknown.Unknown: 0,0073316 Sec
Unknown.Unknown: 0,0053743 Sec
PilotFlightsModel.OnGetAsync: 0,1259119 Sec
Unknown.Unknown: 0,0059642 Sec


 ###### 2019. 07. 04. 12:18:58 ###### 

IndexModel.OnGetAsync: 0,0603425 Sec
LoginModel.OnGetAsync: 0,0287535 Sec
LoginModel.OnPostAsync: 1,2685783 Sec
PilotFlightsModel.OnGetAsync: 0,6012598 Sec
Unknown.Unknown: 0,0071329 Sec
FlightsModel.OnGetAsync: 0,3800904 Sec
Unknown.Unknown: 0,0236999 Sec
PilotFlightsModel.OnGetAsync: 0,1693363 Sec
Unknown.Unknown: 0,0327005 Sec
Unknown.Unknown: 0,0051699 Sec


 ###### 2019. 07. 04. 12:21:26 ###### 

IndexModel.OnGetAsync: 0,0478544 Sec
LoginModel.OnGetAsync: 0,0419381 Sec
LoginModel.OnPostAsync: 1,2375209 Sec
PilotFlightsModel.OnGetAsync: 0,5328675 Sec
PilotFlightsModel.OnGetAsync: 0,1201353 Sec
Unknown.Unknown: 0,0082514 Sec
Unknown.Unknown: 0,0056587 Sec


 ###### 2019. 07. 04. 12:22:42 ###### 

IndexModel.OnGetAsync: 0,0429957 Sec
LoginModel.OnGetAsync: 0,0301109 Sec
LoginModel.OnPostAsync: 1,0602376 Sec
LoginModel.OnPostAsync: 0,7120327 Sec
PilotFlightsModel.OnGetAsync: 0,3964732 Sec
Unknown.Unknown: 0,0060979 Sec
UploadLogModel.OnPostUploadFile: 0,0075056 Sec


 ###### 2019. 07. 04. 12:24:13 ###### 

IndexModel.OnGetAsync: 0,074311 Sec
LoginModel.OnGetAsync: 0,0770275 Sec
LoginModel.OnPostAsync: 1,156391 Sec
PilotFlightsModel.OnGetAsync: 0,7814998 Sec
Unknown.Unknown: 0,0085023 Sec
Unknown.Unknown: 0,0046895 Sec


 ###### 2019. 07. 04. 13:16:49 ###### 

IndexModel.OnGetAsync: 0,1836944 Sec


 ###### 2019. 07. 04. 13:26:32 ###### 

IndexModel.OnGetAsync: 0,3007753 Sec


 ###### 2019. 07. 04. 13:38:59 ###### 

IndexModel.OnGetAsync: 0,2102516 Sec


 ###### 2019. 07. 04. 13:39:29 ###### 

IndexModel.OnGetAsync: 0,2730444 Sec


 ###### 2019. 07. 04. 13:49:24 ###### 

IndexModel.OnGetAsync: 0,2487443 Sec


 ###### 2019. 07. 04. 13:49:49 ###### 

IndexModel.OnGetAsync: 0,2809391 Sec


 ###### 2019. 07. 04. 13:53:36 ###### 

IndexModel.OnGetAsync: 0,2450712 Sec


 ###### 2019. 07. 04. 14:02:30 ###### 

IndexModel.OnGetAsync: 0,4388477 Sec
IndexModel.OnGetAsync: 0,0751857 Sec


 ###### 2019. 07. 04. 14:03:29 ###### 

IndexModel.OnGetAsync: 0,5436044 Sec


 ###### 2019. 07. 04. 14:04:28 ###### 

IndexModel.OnGetAsync: 0,3637215 Sec


 ###### 2019. 07. 04. 14:05:22 ###### 

IndexModel.OnGetAsync: 0,2839176 Sec


 ###### 2019. 07. 04. 14:12:49 ###### 

IndexModel.OnGetAsync: 0,2937238 Sec


 ###### 2019. 07. 04. 14:14:35 ###### 

IndexModel.OnGetAsync: 0,6826332 Sec


 ###### 2019. 07. 04. 14:18:03 ###### 

IndexModel.OnGetAsync: 0,4316397 Sec


 ###### 2019. 07. 04. 14:22:56 ###### 

IndexModel.OnGetAsync: 0,3953908 Sec


 ###### 2019. 07. 04. 14:24:28 ###### 

IndexModel.OnGetAsync: 0,2657573 Sec


 ###### 2019. 07. 04. 14:26:10 ###### 

IndexModel.OnGetAsync: 0,5785632 Sec


 ###### 2019. 07. 04. 14:26:35 ###### 

IndexModel.OnGetAsync: 0,2581912 Sec


 ###### 2019. 07. 04. 14:27:17 ###### 

IndexModel.OnGetAsync: 0,3499672 Sec


 ###### 2019. 07. 04. 14:27:54 ###### 

IndexModel.OnGetAsync: 0,2004595 Sec


 ###### 2019. 07. 04. 14:29:19 ###### 

IndexModel.OnGetAsync: 0,3524517 Sec


 ###### 2019. 07. 04. 14:29:45 ###### 

IndexModel.OnGetAsync: 0,3437144 Sec


